,id,vlr_transacao,des_transacao,data_movimento,id_cartao
39,4406722,295653.06,Debito,2014-07-30 15:35:00,600701
40,5197579,923721.8,Credito,2019-12-11 13:48:00,869690
41,535177,819629.84,Debito,2015-04-17 11:47:00,4863
42,9822795,472364.77,Debito,2020-06-05 10:07:00,680878
43,311584,661421.34,Debito,2005-04-24 10:38:00,294340
44,7353208,467817.24,Credito,2008-10-22 10:32:00,759007
45,6100988,671432.41,Debito,2019-05-13 11:02:00,389863
46,4548865,365043.66,Credito,2020-04-25 16:05:00,315852
47,8320199,528704.71,Credito,2006-03-21 15:34:00,615486
48,5027456,511677.22,Credito,2007-02-28 15:48:00,907547
49,4178809,765218.89,Credito,2011-07-07 15:03:00,138145
50,9298264,289635.19,Credito,2009-07-18 12:54:00,665617
51,7357453,632506.34,Credito,2010-06-24 16:05:00,292959
52,171826,726684.56,Debito,2017-09-09 14:04:00,133418
53,6856207,375220.54,Credito,2014-08-26 16:01:00,576054
54,9533974,517804.69,Debito,2009-06-03 12:28:00,977627
55,5657805,373433.36,Debito,2013-01-30 13:00:00,16246
56,444660,990384.3,Credito,2008-04-29 10:17:00,61690
57,3940981,606358.17,Debito,2019-01-23 09:19:00,995417
58,5577344,876646.17,Credito,2013-10-09 10:52:00,98907
59,1242901,109726.67,Credito,2006-04-15 14:15:00,951270
60,6208721,421181.49,Debito,2008-04-29 14:46:00,862944
61,8191931,802881.36,Debito,2011-10-16 12:43:00,550769
62,2162122,972328.46,Debito,2018-07-24 11:28:00,651293
63,1480701,311325.29,Debito,2020-09-19 15:13:00,268572
64,3029202,308225.35,Credito,2018-07-17 12:11:00,616473
65,1631564,763390.73,Debito,2017-11-11 14:53:00,870873
66,4944891,149222.43,Credito,2022-12-03 14:57:00,767019
67,4198525,521357.52,Debito,2018-06-04 10:12:00,79950
68,2231560,320615.15,Debito,2021-10-12 14:13:00,387278
69,1625215,564581.08,Credito,2007-06-18 16:40:00,318037
70,6672450,312520.78,Debito,2015-02-22 09:21:00,75527
71,2643193,18778.71,Debito,2005-04-11 11:51:00,440507
72,7336425,309387.6,Credito,2014-06-21 09:23:00,514484
73,4951,178436.45,Credito,2012-07-05 10:00:00,527521
74,6179720,708952.69,Debito,2005-07-07 16:50:00,587712
75,902553,219682.54,Debito,2009-09-29 10:41:00,971698
76,1073733,799429.51,Debito,2017-07-20 14:54:00,221734
77,9424768,129589.7,Debito,2022-06-07 12:24:00,665104
78,538898,120472.09,Debito,2020-02-27 13:45:00,395524
79,4735203,248295.66,Credito,2018-08-07 09:09:00,716529
80,2610467,65940.47,Credito,2008-11-26 16:19:00,938282
81,4331302,438329.15,Credito,2020-11-20 09:21:00,713967
82,5904084,575457.98,Credito,2009-08-17 09:35:00,957620
83,2676460,282605.52,Credito,2007-03-14 10:53:00,161158
84,90401,96206.36,Credito,2005-05-12 14:53:00,405916
85,9277950,164731.95,Debito,2010-04-05 11:39:00,575710
86,7118973,803808.64,Credito,2006-03-20 09:28:00,436025
87,9318287,425604.85,Debito,2006-07-12 10:09:00,855742
88,5956755,67993.28,Credito,2013-08-27 13:25:00,591285
89,6835635,151171.09,Credito,2021-02-28 10:29:00,43217
90,6356645,134284.5,Credito,2014-08-02 16:09:00,936626
91,1005556,226959.14,Debito,2019-10-21 13:19:00,761017
92,9083012,631725.63,Credito,2006-10-06 13:58:00,316263
93,5685950,880865.3,Debito,2022-04-21 13:25:00,225001
94,8868520,948878.11,Debito,2018-03-26 10:19:00,486492
95,5960295,572151.89,Debito,2009-05-26 15:17:00,809801
96,2766692,866674.43,Debito,2014-06-13 16:36:00,794817
97,2096552,431075.15,Credito,2006-04-15 15:59:00,611040
98,6234565,269764.41,Debito,2008-04-11 12:48:00,180593
99,9657294,751901.76,Credito,2013-12-23 13:03:00,846809
100,7633837,208541.5,Credito,2018-09-29 11:01:00,291674
101,2808265,197132.59,Credito,2010-09-01 11:41:00,211834
102,4501706,630529.28,Debito,2019-09-21 10:36:00,186225
103,3090497,109077.92,Debito,2007-03-18 16:53:00,182906
104,9221428,908619.83,Credito,2022-02-16 12:17:00,353464
105,6146354,795562.62,Debito,2015-01-15 14:42:00,39189
106,6332809,130120.71,Debito,2011-02-03 12:56:00,150221
107,1551361,441253.44,Credito,2019-02-05 10:50:00,280715
108,716136,817670.18,Debito,2016-04-21 14:53:00,712441
109,9934204,426770.34,Debito,2015-04-16 09:14:00,181812
110,6734142,641584.25,Credito,2019-07-24 14:50:00,597510
111,8855543,400163.82,Debito,2017-03-14 15:50:00,538444
112,4032356,135165.6,Credito,2012-03-29 11:35:00,253440
113,4009554,159904.24,Credito,2007-12-21 12:17:00,697545
114,4480697,512761.59,Debito,2008-08-14 11:22:00,845841
115,6086082,704425.15,Credito,2006-10-19 10:04:00,788693
116,4146856,769355.24,Credito,2005-08-07 15:21:00,133548
117,1897518,531481.59,Credito,2016-02-14 14:11:00,15607
118,8215734,37166.56,Credito,2022-01-06 13:24:00,481235
119,4936205,55535.9,Debito,2018-09-06 10:09:00,232683
120,7171125,500628.67,Debito,2010-11-29 09:48:00,76404
121,9947443,150434.53,Debito,2021-03-26 16:32:00,955113
122,8850450,114943.27,Credito,2005-04-15 12:02:00,714043
123,1404103,784111.1,Debito,2007-08-03 13:09:00,876275
124,7057049,125970.75,Credito,2022-11-04 13:19:00,735418
125,9185858,881390.32,Debito,2009-04-05 13:48:00,477055
126,695396,478701.4,Credito,2013-11-09 14:38:00,897693
127,4362342,254818.02,Credito,2010-02-12 12:56:00,707131
128,8161021,571784.91,Credito,2015-04-04 15:19:00,993333
129,1413765,634837.89,Debito,2014-03-03 13:14:00,590279
130,1253797,982127.0,Credito,2022-06-24 12:19:00,372270
131,153491,308221.37,Credito,2015-09-30 09:33:00,646015
132,9572181,721210.94,Debito,2016-01-27 11:33:00,20642
133,8511622,871883.9,Debito,2014-02-21 09:31:00,127443
134,4244303,522817.02,Debito,2011-09-06 16:31:00,793312
135,8482654,817512.69,Credito,2012-04-01 13:32:00,666963
136,1445560,467179.16,Credito,2014-06-20 12:12:00,356542
137,6815925,124137.39,Debito,2014-07-24 16:06:00,132176
138,3332043,325997.45,Credito,2017-06-03 09:42:00,539207
139,3812284,417484.94,Credito,2022-09-29 15:41:00,635465
140,3777200,505415.06,Credito,2019-11-22 09:47:00,905284
141,5256166,478840.46,Credito,2013-09-18 09:15:00,418
142,1930569,374884.44,Credito,2019-01-18 15:52:00,664897
143,9310753,973236.41,Debito,2009-12-26 12:33:00,832769
144,2124085,272667.86,Credito,2006-02-15 14:50:00,177701
145,9209826,134878.74,Credito,2019-01-17 13:21:00,783397
146,6358362,662461.22,Credito,2008-11-23 15:42:00,648984
147,5971556,796071.77,Debito,2022-09-26 10:23:00,465208
148,998094,291899.05,Debito,2016-05-24 12:30:00,371984
149,7530244,959557.69,Credito,2007-12-10 12:45:00,142875
150,683257,922498.65,Debito,2007-10-27 16:40:00,448282
151,5286994,435552.69,Debito,2017-08-19 13:45:00,681307
152,8739212,272069.03,Credito,2021-01-21 09:52:00,290714
153,7739192,667627.15,Debito,2011-02-27 09:35:00,37602
154,5307693,656190.14,Credito,2017-02-20 14:45:00,771647
155,2473808,974648.58,Debito,2013-09-05 12:15:00,461245
156,5053598,388782.96,Credito,2014-04-28 15:40:00,194686
157,1206716,411519.76,Credito,2007-07-03 09:31:00,205519
158,7233611,635387.13,Debito,2017-11-11 10:49:00,207096
159,8468725,753317.42,Credito,2020-01-11 13:22:00,148486
160,7553076,118718.39,Credito,2009-01-23 15:11:00,282639
161,3791308,493575.81,Debito,2015-05-30 11:57:00,443860
162,8603692,788444.74,Debito,2006-03-07 15:43:00,229111
163,8447605,961363.08,Debito,2005-03-16 12:41:00,358915
164,4108940,128068.24,Debito,2008-09-08 15:36:00,829305
165,3937375,103437.97,Credito,2021-10-04 15:09:00,390737
166,9447888,364633.47,Credito,2013-06-07 12:45:00,745970
167,7935079,6080.55,Debito,2008-10-06 15:50:00,745638
168,8906810,760751.17,Credito,2021-08-12 12:38:00,269624
169,1119078,604543.35,Credito,2011-04-21 11:46:00,396483
170,412751,286847.41,Debito,2015-12-28 14:03:00,90657
171,8924640,938650.9,Debito,2007-01-02 16:23:00,882779
172,8073613,297842.41,Debito,2012-02-22 14:18:00,677617
173,8380536,647159.6,Credito,2021-06-22 16:37:00,608137
174,4835366,725290.82,Debito,2021-04-19 12:43:00,345732
175,7961388,992056.24,Credito,2006-04-16 14:53:00,710995
176,8655308,175967.99,Debito,2010-04-25 13:03:00,487545
177,983618,657849.06,Debito,2019-10-27 16:10:00,621846
178,2226331,980304.63,Debito,2013-02-19 12:18:00,600004
179,3521973,378381.66,Debito,2014-03-13 12:21:00,915926
180,1327838,675721.61,Debito,2009-01-16 11:14:00,345867
181,6416539,442343.91,Credito,2008-09-08 11:59:00,53881
182,5743347,299945.67,Debito,2014-10-20 09:45:00,115561
183,6193883,307284.74,Debito,2019-05-07 15:53:00,993119
184,7803391,759601.59,Credito,2009-02-21 12:40:00,793284
185,8763609,611870.31,Credito,2017-12-19 14:10:00,804615
186,1915177,865711.02,Credito,2017-04-15 11:28:00,247908
187,7203197,704359.41,Credito,2021-04-08 10:44:00,793407
188,4570184,610699.19,Credito,2007-06-10 10:41:00,437904
189,5381577,705359.31,Credito,2011-10-03 16:10:00,460820
190,4110452,612598.24,Debito,2006-07-10 10:58:00,200248
191,159895,474426.42,Debito,2010-05-24 15:46:00,981224
192,9116147,312980.47,Credito,2022-03-07 14:38:00,957819
193,5694526,589141.28,Debito,2018-04-12 13:25:00,466105
194,2653586,297796.67,Credito,2007-03-30 10:11:00,679587
195,6335520,684200.3,Debito,2016-11-05 12:28:00,826476
196,2540883,350795.49,Debito,2009-12-30 16:22:00,47288
197,6296150,577497.05,Debito,2009-11-23 10:57:00,920114
198,4259525,279755.01,Credito,2008-07-10 16:35:00,456993
199,2409034,754914.72,Debito,2011-01-02 16:01:00,956647
200,2520923,291114.03,Credito,2010-01-23 13:44:00,101241
201,7078816,804879.56,Credito,2017-07-21 11:21:00,578216
202,4286104,62808.27,Debito,2016-09-18 14:10:00,813554
203,1123080,986552.6,Debito,2013-11-27 09:06:00,918622
204,844709,75356.76,Credito,2016-02-06 16:11:00,46162
205,351505,815362.27,Debito,2009-07-25 12:17:00,344503
206,4855656,764607.5,Debito,2010-05-25 15:32:00,556774
207,6743417,288787.62,Credito,2021-11-11 09:48:00,934743
208,228197,129886.13,Credito,2009-06-10 11:13:00,679056
209,2409563,115077.29,Debito,2010-01-26 16:56:00,205439
210,2327948,968160.7,Debito,2019-07-17 10:23:00,538642
211,2339978,141628.37,Debito,2005-08-20 10:10:00,320183
212,9677809,691921.95,Debito,2006-11-26 13:28:00,586652
213,8186839,39974.91,Debito,2010-07-03 15:14:00,78799
214,4767741,473547.94,Credito,2019-03-04 09:16:00,756217
215,3916133,648917.26,Debito,2010-07-05 13:18:00,983601
216,8802766,789184.48,Debito,2019-11-27 11:28:00,125015
217,1887941,79677.54,Credito,2012-04-16 09:01:00,371931
218,7130115,948384.42,Credito,2020-02-21 09:02:00,550784
219,3894487,787772.64,Debito,2012-05-15 10:48:00,78601
220,140901,2673.87,Credito,2007-12-02 12:54:00,909048
221,6260874,962864.65,Debito,2015-04-25 13:37:00,866077
222,4254566,7026.93,Credito,2016-09-24 09:41:00,624166
223,3593119,422245.66,Debito,2007-08-04 12:39:00,403992
224,347827,568335.05,Credito,2007-08-01 15:09:00,972472
225,5769769,829544.73,Debito,2005-07-19 09:04:00,655705
226,3529284,655184.49,Credito,2021-10-09 16:52:00,218102
227,9767937,955974.69,Credito,2005-06-28 16:50:00,733596
228,4296548,38981.94,Debito,2017-01-25 12:28:00,26007
229,9411189,713431.28,Debito,2020-03-22 11:08:00,891252
230,7195154,85438.52,Credito,2015-04-09 09:44:00,653656
231,7182467,731609.43,Debito,2022-09-28 15:04:00,812038
232,3346141,635542.39,Credito,2006-10-11 16:33:00,967835
233,2534916,270852.19,Credito,2008-04-01 09:58:00,167673
234,7622492,930729.17,Debito,2018-09-27 09:27:00,931136
235,4691778,115075.19,Credito,2016-03-14 11:32:00,446305
236,8360229,914976.62,Debito,2016-10-08 14:49:00,397419
237,1983476,676959.54,Credito,2005-12-01 14:27:00,133621
238,2998172,944679.79,Debito,2011-05-20 13:21:00,737580
239,5092087,259071.54,Debito,2020-08-08 12:53:00,382816
240,4862791,940968.88,Credito,2014-09-08 14:20:00,486123
241,4687370,738126.52,Credito,2006-06-03 12:11:00,569433
242,4722207,925506.59,Debito,2021-04-27 10:11:00,795354
243,9847383,524434.85,Debito,2007-07-22 15:14:00,140444
244,3431200,481389.86,Credito,2016-12-21 10:50:00,605126
245,7825178,254870.25,Credito,2009-12-03 10:47:00,830923
246,51392,416845.87,Credito,2019-07-23 11:11:00,722287
247,7727466,950984.54,Credito,2009-10-12 16:59:00,855475
248,9311864,644496.96,Debito,2010-06-03 10:42:00,877461
249,8711585,546456.93,Debito,2017-05-10 16:18:00,767868
250,370681,453192.5,Credito,2016-03-27 14:01:00,198883
251,4955999,149429.86,Debito,2007-10-28 12:53:00,584541
252,8620134,108649.69,Debito,2016-11-20 09:32:00,960903
253,3799135,699810.73,Credito,2015-01-26 11:47:00,425430
254,866567,305458.51,Credito,2016-02-25 13:19:00,285967
255,1420395,224652.38,Credito,2009-05-28 11:54:00,933374
256,2893035,209093.02,Credito,2012-01-20 12:30:00,294427
257,7817843,481212.3,Debito,2011-07-06 13:01:00,210693
258,20253,5197.13,Debito,2015-07-02 11:30:00,639117
259,8406192,592250.78,Debito,2010-10-13 10:20:00,340705
260,1257661,364145.91,Debito,2012-08-10 12:07:00,379245
261,6386086,758732.21,Debito,2015-03-30 13:25:00,15020
262,9644917,723207.1,Credito,2011-08-17 11:16:00,902248
263,1178498,200577.41,Debito,2014-03-26 12:31:00,394119
264,576009,99514.2,Credito,2017-06-25 13:29:00,216636
265,8517565,39766.4,Credito,2012-02-10 12:58:00,189057
266,3669044,558791.13,Credito,2012-03-01 15:43:00,65289
267,7290936,927238.96,Debito,2012-08-07 16:57:00,351383
268,2301144,308791.43,Debito,2018-12-19 12:09:00,244543
269,5794959,348710.44,Debito,2007-11-05 15:37:00,919923
270,5685311,286242.39,Debito,2022-03-16 09:03:00,987874
271,6768677,56518.44,Debito,2022-04-04 09:36:00,630789
272,6405,834244.02,Debito,2020-01-21 10:31:00,756584
273,2140637,13534.42,Credito,2021-03-17 09:42:00,939994
274,260129,567359.2,Debito,2021-12-26 12:23:00,841661
275,9221791,920548.04,Credito,2017-03-11 09:40:00,810503
276,4596354,849525.71,Debito,2006-09-08 13:30:00,115572
277,6112952,222601.04,Debito,2007-07-26 12:01:00,271882
278,3612897,371521.0,Credito,2020-09-27 14:20:00,395690
279,6943959,676128.66,Debito,2017-02-09 14:04:00,79332
280,5385708,853720.07,Credito,2006-11-05 12:21:00,126615
281,759576,175457.34,Credito,2014-03-24 10:47:00,333270
282,7409479,624730.53,Debito,2017-07-28 13:20:00,477275
283,452163,27470.01,Credito,2011-03-26 14:13:00,506581
284,3337232,208979.23,Debito,2017-08-17 10:10:00,531800
285,679902,935271.32,Debito,2018-07-25 13:44:00,498690
286,6994298,543439.54,Credito,2006-06-29 13:36:00,756380
287,99496,66514.15,Debito,2012-05-02 09:45:00,573738
288,9076542,624202.28,Debito,2007-07-03 15:46:00,419209
289,1334708,59722.49,Debito,2010-11-25 10:32:00,220260
290,5750412,792087.17,Debito,2005-05-17 09:40:00,384439
291,1714598,325771.21,Credito,2006-03-25 13:53:00,560208
292,4055475,343245.84,Credito,2021-02-02 14:32:00,857044
293,680839,419084.48,Debito,2016-07-15 14:55:00,57182
294,8494500,155469.27,Credito,2015-04-29 15:06:00,708161
295,4214375,62528.02,Credito,2014-05-15 10:57:00,59349
296,2072940,302951.9,Credito,2012-10-06 13:17:00,342006
297,4575439,594439.69,Credito,2011-03-20 10:39:00,629549
298,2325228,210086.23,Debito,2006-10-27 12:53:00,420249
299,199110,295557.71,Credito,2020-10-19 13:27:00,475814
300,1663141,454466.9,Debito,2016-12-07 15:59:00,693400
301,6587913,810356.52,Debito,2008-05-18 16:34:00,466353
302,2584477,982472.82,Debito,2019-07-20 16:11:00,449519
303,2998793,484899.33,Credito,2019-03-01 11:12:00,142075
304,7080844,224882.04,Debito,2009-05-10 16:39:00,502482
305,9060451,290720.44,Debito,2005-06-03 13:06:00,888281
306,4306113,649118.18,Debito,2020-03-30 14:51:00,597208
307,7873434,929543.04,Credito,2006-12-11 16:08:00,177847
308,7716997,99131.32,Debito,2008-12-28 12:27:00,723210
309,2598711,714849.27,Debito,2015-10-21 09:41:00,315500
310,7361499,769471.83,Credito,2016-08-12 15:00:00,259142
311,5274679,845126.18,Debito,2009-03-17 11:39:00,750983
312,6464033,471360.49,Debito,2005-04-02 13:02:00,798611
313,1010035,774213.82,Debito,2007-02-11 12:38:00,374914
314,2150155,77738.84,Debito,2017-11-30 13:06:00,751204
315,6074148,964101.1,Debito,2011-12-25 15:39:00,880341
316,6238958,721356.11,Debito,2020-05-16 09:04:00,226321
317,4555701,961271.94,Debito,2006-03-30 14:34:00,399802
318,9631678,346958.19,Debito,2006-09-18 13:37:00,854604
319,3865773,327289.93,Debito,2017-03-21 14:26:00,288693
320,6446284,971351.21,Credito,2006-04-28 10:42:00,188885
321,5414425,166377.21,Debito,2018-07-02 11:04:00,998093
322,8836078,147984.86,Credito,2018-12-29 16:23:00,751386
323,644173,854696.22,Credito,2014-02-26 16:59:00,440771
324,9426089,146551.25,Debito,2014-03-16 15:23:00,223450
325,9141233,43593.04,Credito,2011-08-07 09:19:00,896936
326,3530568,818711.32,Credito,2008-10-03 10:07:00,448961
327,152451,221776.6,Debito,2017-08-26 16:24:00,989594
328,7239542,92936.7,Credito,2018-01-15 16:28:00,776541
329,2449989,584399.75,Debito,2011-01-17 13:21:00,815857
330,3585009,432068.18,Credito,2015-12-18 10:55:00,376151
331,2082960,952870.75,Debito,2008-02-01 09:37:00,791019
332,4868746,639370.21,Debito,2011-12-28 15:02:00,155930
333,9887774,499687.77,Credito,2005-10-05 13:55:00,980043
334,392716,261178.37,Debito,2007-10-16 15:17:00,13490
335,5598014,587435.78,Debito,2017-12-24 12:23:00,86257
336,9343436,343159.75,Credito,2017-07-25 15:46:00,694255
337,3350602,333971.6,Credito,2007-10-02 09:39:00,867172
338,854829,360585.75,Debito,2013-01-25 09:31:00,281918
339,2189954,290435.52,Debito,2007-06-25 12:21:00,440782
340,4579717,437356.43,Credito,2014-07-29 11:32:00,259699
341,9169036,857749.63,Credito,2014-06-19 13:12:00,929503
342,3847222,778595.31,Debito,2014-03-06 15:09:00,462258
343,2114103,520756.52,Credito,2021-08-13 16:16:00,517984
344,4578950,242105.83,Debito,2010-06-26 12:21:00,805962
345,8851560,157621.91,Debito,2011-09-02 11:15:00,172300
346,6843728,606811.83,Debito,2022-11-18 11:58:00,720456
347,8939327,208953.77,Credito,2005-01-15 16:27:00,183864
348,2684875,370389.12,Debito,2021-04-15 12:30:00,142129
349,8175807,978681.51,Credito,2008-12-14 14:31:00,590266
350,1522462,962882.25,Debito,2010-05-21 10:26:00,736923
351,6772445,812198.81,Credito,2008-06-17 14:21:00,528639
352,5812688,814201.37,Debito,2010-07-14 11:16:00,606262
353,8983163,207550.9,Credito,2020-10-07 12:16:00,921687
354,7862981,443139.79,Debito,2005-02-22 12:25:00,622600
355,6727126,636053.8,Credito,2011-09-17 11:36:00,706267
356,8162641,145919.02,Debito,2011-02-18 15:44:00,624403
357,3543271,260321.25,Debito,2021-10-07 11:52:00,142788
358,7364135,513551.57,Debito,2020-05-07 10:46:00,63173
359,6652556,918034.58,Credito,2006-02-18 14:24:00,152720
360,7664003,816855.79,Debito,2006-06-15 10:15:00,753725
361,6947372,598778.05,Credito,2007-07-21 11:14:00,368520
362,7115247,40109.12,Credito,2013-08-26 16:36:00,714011
363,8841750,437444.48,Debito,2005-03-19 14:44:00,538480
364,713129,395395.1,Credito,2006-05-10 13:22:00,961628
365,1453597,550198.51,Credito,2020-12-05 10:00:00,741041
366,1576920,265893.04,Debito,2010-03-13 15:06:00,339164
367,607262,152122.57,Debito,2005-02-20 16:52:00,855719
368,4900135,592791.28,Debito,2015-02-13 09:07:00,147718
369,3125304,388177.35,Debito,2020-08-03 16:37:00,170813
370,5330040,31086.36,Credito,2007-05-08 10:34:00,183750
371,8110809,246409.38,Credito,2019-11-27 09:49:00,62622
372,9555864,17689.22,Credito,2021-01-18 11:20:00,268979
373,7528193,189728.82,Debito,2020-01-26 16:21:00,931601
374,5972700,368878.91,Credito,2020-03-16 14:49:00,340112
375,4171967,655735.24,Credito,2008-07-27 13:25:00,24592
376,2375985,677226.89,Debito,2005-09-23 16:39:00,632547
377,3312418,316523.41,Debito,2005-06-03 13:23:00,790722
378,8247936,49937.26,Credito,2019-04-19 09:52:00,532709
379,8489435,917392.13,Debito,2020-10-21 09:20:00,976622
380,6683046,336229.91,Credito,2013-03-21 12:01:00,776548
381,5163582,989184.72,Credito,2010-02-08 15:56:00,719031
382,6481195,123236.71,Credito,2005-08-07 10:32:00,909083
383,947755,883062.95,Debito,2015-06-22 10:44:00,45349
384,1126278,832139.12,Debito,2010-03-07 15:54:00,241686
385,2471059,836283.48,Debito,2010-03-18 15:52:00,197740
386,2964844,974100.12,Credito,2007-01-19 12:24:00,433601
387,2562072,669135.85,Debito,2018-07-10 09:28:00,620376
388,7002993,302982.43,Debito,2009-01-29 12:49:00,343932
389,1406805,159642.11,Debito,2017-11-04 16:19:00,794679
390,7130692,879005.9,Credito,2015-10-11 10:30:00,943386
391,2288000,877439.32,Credito,2018-09-12 16:23:00,528602
392,3845970,347933.79,Debito,2009-03-22 11:09:00,15491
393,2556354,745410.17,Credito,2012-02-14 14:04:00,966803
394,4816951,198919.47,Credito,2022-12-09 15:09:00,788850
395,560903,612971.57,Debito,2007-02-10 13:39:00,465750
396,5044225,74149.69,Debito,2015-06-02 10:15:00,828388
397,6169408,763084.19,Debito,2018-09-13 12:20:00,15811
398,6234319,700040.53,Debito,2005-06-01 11:44:00,526621
399,8526652,524888.57,Credito,2018-11-28 12:04:00,743359
400,136746,885541.19,Credito,2017-08-02 13:41:00,676292
401,3988105,511529.75,Credito,2016-11-02 16:35:00,823911
402,1842875,849387.18,Credito,2019-11-02 11:07:00,352350
403,4246843,536362.3,Debito,2005-12-10 09:15:00,89578
404,8055050,949189.22,Credito,2011-08-01 12:31:00,959306
405,9633546,392818.41,Debito,2020-09-03 14:17:00,406775
406,3943435,14975.02,Debito,2018-09-17 10:24:00,395769
407,2281162,329844.39,Debito,2015-01-08 09:36:00,290889
408,6793937,297343.35,Credito,2013-10-15 16:46:00,438152
409,5078561,980620.84,Debito,2008-10-13 11:36:00,603995
410,4342415,474814.81,Credito,2016-10-05 13:54:00,56239
411,4702964,274811.42,Debito,2014-06-15 16:23:00,972866
412,675747,26307.98,Credito,2015-03-04 11:18:00,958857
413,7176771,617143.49,Credito,2014-11-08 09:02:00,182189
414,9142404,568098.95,Credito,2009-10-25 13:20:00,936907
415,5988831,997197.74,Debito,2009-03-25 14:11:00,564372
416,3743321,423523.05,Debito,2005-03-20 10:39:00,816357
417,465683,258081.18,Credito,2019-12-23 13:54:00,961830
418,5555812,778118.06,Credito,2017-12-17 16:37:00,39942
419,3101513,713521.45,Credito,2017-09-14 09:23:00,941713
420,4491458,8821.05,Credito,2010-09-07 16:43:00,599107
421,2251205,790359.34,Debito,2011-03-26 14:16:00,206344
422,1265299,198083.33,Credito,2007-06-12 09:35:00,929380
423,3880853,224889.94,Debito,2015-06-25 09:44:00,547377
424,792983,638710.21,Credito,2006-10-04 14:38:00,788189
425,5353185,722872.25,Credito,2011-05-16 15:22:00,230905
426,3681994,145952.95,Credito,2015-02-11 10:34:00,16480
427,2318955,658171.26,Credito,2009-12-26 15:24:00,39336
428,8573400,73427.74,Credito,2016-03-08 13:47:00,319044
429,7206382,60462.88,Credito,2014-06-24 16:42:00,751401
430,6459199,207801.54,Credito,2013-08-30 13:08:00,136121
431,6881478,750599.99,Debito,2006-06-27 09:40:00,18768
432,7444162,237583.45,Debito,2012-09-19 11:06:00,416355
433,4917934,630674.45,Debito,2018-09-23 16:40:00,328941
434,1817509,383472.43,Credito,2018-04-10 12:55:00,283723
435,5971679,21787.33,Debito,2007-03-05 10:41:00,930910
436,9425909,649402.86,Debito,2013-08-11 15:24:00,196578
437,1710902,843125.44,Debito,2013-11-30 16:08:00,119379
438,4560448,931219.18,Credito,2014-12-20 15:44:00,554003
439,7206619,277988.33,Debito,2014-04-16 14:10:00,666840
440,882466,579165.87,Debito,2011-11-03 15:00:00,540954
441,6856734,934053.61,Debito,2012-03-19 14:27:00,964159
442,5787764,144843.54,Debito,2017-07-28 11:28:00,397196
443,5180594,385832.37,Debito,2013-09-13 12:28:00,911471
444,1327096,731363.4,Debito,2015-06-29 15:46:00,827962
445,4200353,154201.27,Credito,2018-10-07 12:30:00,846862
446,9639806,34062.92,Debito,2005-12-06 09:08:00,914165
447,5321949,775973.73,Debito,2013-06-27 13:21:00,213949
448,1889942,229703.94,Debito,2014-10-08 12:16:00,360406
449,9405858,306272.9,Credito,2021-03-22 09:59:00,958793
450,7303149,666564.19,Credito,2022-03-10 10:34:00,811150
